firstName,lastName,userId,email ,phoneNumber,latitude ,longitude ,,Extra
GERALDINE,JOHNSON,GERALDINE_JOHNSON,GERALDINE_JOHNSON@gmail.com,,37.23393708,-122.3354011,,"San Jose (5 people, 20 mile radius)"
GIA,BROWN,GIA_BROWN,GIA_BROWN@gmail.com,,37.26854693,-122.3171248,,"Seattle (4 people, 10 mile radius)"
GIANNA,LEE,GIANNA_LEE,GIANNA_LEE@gmail.com,,37.4995469,-121.8900529,,"Los Angeles (7 people, 5 mile radius)"
GISELLE,SMITH,GISELLE_SMITH,GISELLE_SMITH@gmail.com) ,,37.4995469,-121.8900529,,"Austin, TX (5 people, 15 mi radius)"
GRACE,JOHNSON,GRACE_JOHNSON,GRACE_JOHNSON@gmail.com) ,,37.44104658,-122.1173226,,"Miami (6 people, 30 mi radius)"
GUADALUPE,WILLIAMS,GUADALUPE_WILLIAMS,GUADALUPE_WILLIAMS@gmail.com) ,,47.6920853,-122.4928714,,"Pittsburgh (10 people, 10 mile radius)"
HAILEY,BROWN,HAILEY_BROWN,HAILEY_BROWN@gmail.com) ,,47.62787836,-122.4589954,,"NYC (3 people, 5 mile radius)"
HALEY,JONES,HALEY_JONES,HALEY_JONES@gmail.com) ,,47.61915077,-122.3510516,,"NYC (7 people, 5 mile radius)"
HANNAH,GARCIA,HANNAH_GARCIA,HANNAH_GARCIA@gmail.com) ,,47.62787836,-122.4589954,,
HAYLEE,MILLER,HAYLEE_MILLER,HAYLEE_MILLER@gmail.com) ,,34.09204034,-118.2312624,,
HAYLEY,DAVIS,HAYLEY_DAVIS,HAYLEY_DAVIS@gmail.com) ,,34.00994937,-118.2541131,,
HAZEL,RODRIGUEZ,HAZEL_RODRIGUEZ,HAZEL_RODRIGUEZ@gmail.com) ,,34.03052527,-118.2618744,,
HEAVEN,MARTINEZ,HEAVEN_MARTINEZ,HEAVEN_MARTINEZ@gmail.com) ,,34.00503314,-118.2847598,,
HEIDI,HERNANDEZ,HEIDI_HERNANDEZ,HEIDI_HERNANDEZ@gmail.com) ,,34.08120427,-118.293814,,
HEIDY,LOPEZ,HEIDY_LOPEZ,HEIDY_LOPEZ@gmail.com) ,,34.09307475,-118.2001311,,
HELEN,GONZALEZ,HELEN_GONZALEZ,HELEN_GONZALEZ@gmail.com) ,,34.0417072,-118.3066747,,
IMANI,WILSON,IMANI_WILSON,IMANI_WILSON@gmail.com) ,,30.24863812,-97.82443378,,
INGRID,ANDERSON,INGRID_ANDERSON,INGRID_ANDERSON@gmail.com) ,,30.35282992,-97.61366875,,
IRENE,THOMAS,IRENE_THOMAS,IRENE_THOMAS@gmail.com) ,,30.48068885,-97.72100861,,
IRIS,TAYLOR,IRIS_TAYLOR,IRIS_TAYLOR@gmail.com) ,,30.20365974,-97.5732082,,
ISABEL,MOORE,ISABEL_MOORE,ISABEL_MOORE@gmail.com) ,,30.0647361,-97.67366362,,
ISABELA,JACKSON,ISABELA_JACKSON,ISABELA_JACKSON@gmail.com) ,,25.3721923,-80.1359978,,
ISABELLA,MARTIN,ISABELLA_MARTIN,ISABELLA_MARTIN@gmail.com) ,,25.42192391,-80.18643823,,
ISABELLE,LEE,ISABELLE_LEE,ISABELLE_LEE@gmail.com) ,,25.60417198,-80.21093417,,
ISIS,PEREZ,ISIS_PEREZ,ISIS_PEREZ@gmail.com) ,,25.58619066,-80.57549702,,
ITZEL,THOMPSON,ITZEL_THOMPSON,ITZEL_THOMPSON@gmail.com) ,,25.40468528,-79.93862221,,
IZABELLA,WHITE,IZABELLA_WHITE,IZABELLA_WHITE@gmail.com) ,,26.03622417,-79.83255602,,
JACQUELINE,HARRIS,JACQUELINE_HARRIS,JACQUELINE_HARRIS@gmail.com) ,,40.48862915,-80.14141311,,
JADA,SANCHEZ,JADA_SANCHEZ,JADA_SANCHEZ@gmail.com) ,,40.50170965,-80.09777729,,
JADE,CLARK,JADE_CLARK,JADE_CLARK@gmail.com) ,,40.57455069,-80.00992621,,
JAELYNN,RAMIREZ,JAELYNN_RAMIREZ,JAELYNN_RAMIREZ@gmail.com) ,,40.29651063,-79.98241256,,
JAMIE,LEWIS,JAMIE_LEWIS,JAMIE_LEWIS@gmail.com) ,,40.49303469,-80.10254273,,
JANELLE,ROBINSON,JANELLE_ROBINSON,JANELLE_ROBINSON@gmail.com) ,,40.50245938,-80.08270203,,
JASLENE,WALKER,JASLENE_WALKER,JASLENE_WALKER@gmail.com) ,,40.4513275,-79.86228567,,
JASMIN,YOUNG,JASMIN_YOUNG,JASMIN_YOUNG@gmail.com) ,,40.41427404,-79.99527299,,
JASMINE,ALLEN,JASMINE_ALLEN,JASMINE_ALLEN@gmail.com) ,,40.359186,-79.84427816,,
JAYDA,KING,JAYDA_KING,JAYDA_KING@gmail.com) ,,40.49715654,-79.83638598,,
JAYLA,WRIGHT,JAYLA_WRIGHT,JAYLA_WRIGHT@gmail.com) ,,40.7721984,-73.97933858,,
JAYLAH,SCOTT,JAYLAH_SCOTT,JAYLAH_SCOTT@gmail.com) ,,40.83389292,-73.95543518,,
JAYLEEN,TORRES,JAYLEEN_TORRES,JAYLEEN_TORRES@gmail.com) ,,40.76680496,-73.96009353,,
JAYLENE,NGUYEN,JAYLENE_NGUYEN,JAYLENE_NGUYEN@gmail.com) ,,40.73442104,-73.9650183,,
JAYLIN,HILL,JAYLIN_HILL,JAYLIN_HILL@gmail.com) ,,40.73145877,-73.93101495,,
JAYLYN,FLORES,JAYLYN_FLORES,JAYLYN_FLORES@gmail.com) ,,40.82269364,-73.89590991,,
JAZLYN,GREEN,JAZLYN_GREEN,JAZLYN_GREEN@gmail.com) ,,40.77531553,-73.91580274,,
JAZMIN,ADAMS,JAZMIN_ADAMS,JAZMIN_ADAMS@gmail.com) ,,40.77641539,-73.93836073,,
JAZMINE,NELSON,JAZMINE_NELSON,JAZMINE_NELSON@gmail.com) ,,40.81950541,-73.9224928,,
JENNIFER,BAKER,JENNIFER_BAKER,JENNIFER_BAKER@gmail.com) ,,40.74636567,-73.96259962,,
JESSICA,HALL,JESSICA_HALL,JESSICA_HALL@gmail.com) ,,,,,
JIMENA,RIVERA,JIMENA_RIVERA,JIMENA_RIVERA@gmail.com) ,,,,,
JOCELYN,CAMPBELL,JOCELYN_CAMPBELL,JOCELYN_CAMPBELL@gmail.com) ,,,,,
JOHANNA,MITCHELL,JOHANNA_MITCHELL,JOHANNA_MITCHELL@gmail.com) ,,,,,
JOSELYN,CARTER,JOSELYN_CARTER,JOSELYN_CARTER@gmail.com) ,,,,,
JULIA,ROBERTS,JULIA_ROBERTS,JULIA_ROBERTS@gmail.com) ,,,,,
JULIANA,GOMEZ,JULIANA_GOMEZ,JULIANA_GOMEZ@gmail.com) ,,,,,
JULIANNA,PHILLIPS,JULIANNA_PHILLIPS,JULIANNA_PHILLIPS@gmail.com) ,,,,,
JULIET,EVANS,JULIET_EVANS,JULIET_EVANS@gmail.com) ,,,,,
JULIETTE,TURNER,JULIETTE_TURNER,JULIETTE_TURNER@gmail.com) ,,,,,
JULISSA,DIAZ,JULISSA_DIAZ,JULISSA_DIAZ@gmail.com) ,,,,,
KAELYN,PARKER,KAELYN_PARKER,KAELYN_PARKER@gmail.com) ,,,,,
KAILEY,CRUZ,KAILEY_CRUZ,KAILEY_CRUZ@gmail.com) ,,,,,
KAILYN,EDWARDS,KAILYN_EDWARDS,KAILYN_EDWARDS@gmail.com) ,,,,,
KAITLYN,COLLINS,KAITLYN_COLLINS,KAITLYN_COLLINS@gmail.com) ,,,,,
KAMILA,REYES,KAMILA_REYES,KAMILA_REYES@gmail.com) ,,,,,
KAREN,STEWART,KAREN_STEWART,KAREN_STEWART@gmail.com) ,,,,,
KARLA,MORRIS,KARLA_MORRIS,KARLA_MORRIS@gmail.com) ,,,,,
KATE,MORALES,KATE_MORALES,KATE_MORALES@gmail.com) ,,,,,
KATELYN,MURPHY,KATELYN_MURPHY,KATELYN_MURPHY@gmail.com) ,,,,,
KATELYNN,COOK,KATELYNN_COOK,KATELYNN_COOK@gmail.com) ,,,,,
KATHERINE,ROGERS,KATHERINE_ROGERS,KATHERINE_ROGERS@gmail.com) ,,,,,
KATIE,GUTIERREZ,KATIE_GUTIERREZ,KATIE_GUTIERREZ@gmail.com) ,,,,,
KAYLA,ORTIZ,KAYLA_ORTIZ,KAYLA_ORTIZ@gmail.com) ,,,,,
KAYLEE,MORGAN,KAYLEE_MORGAN,KAYLEE_MORGAN@gmail.com) ,,,,,
KAYLEEN,COOPER,KAYLEEN_COOPER,KAYLEEN_COOPER@gmail.com) ,,,,,
KAYLEIGH,PETERSON,KAYLEIGH_PETERSON,KAYLEIGH_PETERSON@gmail.com) ,,,,,
KAYLIE,BAILEY,KAYLIE_BAILEY,KAYLIE_BAILEY@gmail.com) ,,,,,
KAYLIN,REED,KAYLIN_REED,KAYLIN_REED@gmail.com) ,,,,,
KEILY,KELLY,KEILY_KELLY,KEILY_KELLY@gmail.com) ,,,,,
KELLY,HOWARD,KELLY_HOWARD,KELLY_HOWARD@gmail.com) ,,,,,
KEYLA,RAMOS,KEYLA_RAMOS,KEYLA_RAMOS@gmail.com) ,,,,,
KHLOE,KIM,KHLOE_KIM,KHLOE_KIM@gmail.com) ,,,,,
KIARA,COX,KIARA_COX,KIARA_COX@gmail.com) ,,,,,
KIMBERLY,WARD,KIMBERLY_WARD,KIMBERLY_WARD@gmail.com) ,,,,,
KRYSTAL,RICHARDSON,KRYSTAL_RICHARDSON,KRYSTAL_RICHARDSON@gmail.com) ,,,,,
KYLEE,WATSON,KYLEE_WATSON,KYLEE_WATSON@gmail.com) ,,,,,
KYLIE,BROOKS,KYLIE_BROOKS,KYLIE_BROOKS@gmail.com) ,,,,,
LAILA,CHAVEZ,LAILA_CHAVEZ,LAILA_CHAVEZ@gmail.com) ,,,,,
LAURA,WOOD,LAURA_WOOD,LAURA_WOOD@gmail.com) ,,,,,
LAUREN,JAMES,LAUREN_JAMES,LAUREN_JAMES@gmail.com) ,,,,,
LAYLA,BENNETT,LAYLA_BENNETT,LAYLA_BENNETT@gmail.com) ,,,,,
LEA,GRAY,LEA_GRAY,LEA_GRAY@gmail.com) ,,,,,
LEAH,MENDOZA,LEAH_MENDOZA,LEAH_MENDOZA@gmail.com) ,,,,,
LEILA,RUIZ,LEILA_RUIZ,LEILA_RUIZ@gmail.com) ,,,,,
LEILANI,HUGHES,LEILANI_HUGHES,LEILANI_HUGHES@gmail.com) ,,,,,
LESLEY,PRICE,LESLEY_PRICE,LESLEY_PRICE@gmail.com) ,,,,,
LESLIE,ALVAREZ,LESLIE_ALVAREZ,,,,,,
LESLY,CASTILLO,LESLY_CASTILLO,,,,,,
LEYLA,SANDERS,LEYLA_SANDERS,,,,,,
LIA,PATEL,LIA_PATEL,,,,,,
LIANA,MYERS,LIANA_MYERS,,,,,,
LILIANA,LONG,LILIANA_LONG,,,,,,
LILY,ROSS,LILY_ROSS,,,,,,
LINDSAY,FOSTER,LINDSAY_FOSTER,,,,,,
LIZBETH,JIMENEZ,LIZBETH_JIMENEZ,,,,,,
LONDON,POWELL,LONDON_POWELL,,,,,,
LUCIA,JENKINS,LUCIA_JENKINS,,,,,,
LUNA,PERRY,LUNA_PERRY,,,,,,
